Name	weight	e	e2
H	1.008	1	1
He	4.003	0	1
Li	6.941	1	1
Be	9.012	2	2
B	10.81	3	3
C	12.01	4	4
N	14.01	5	3
O	16	6	2
F	19	7	1
Ne	20.18	0	0
Na	22.99	1	1
Mg	24.31	2	2
Al	26.98	3	3
Si	28.09	4	4
P	30.97	5	3
S	32.06	6	2
Cl	35.45	7	1
Ar	39.95	0	
K	39.1	8	1
Ca	40.08	8	2
Sc	44.96	8	
Ti	47.87	8	
V	50.94	8	
Cr	52	8	
Mn	54.94	8	
Fe	55.85	8	
Co	58.93	8	
Ni	58.69	8	
Cu	63.55	8	
Zn	65.58	8	
Ga	69.72	3	
Ge	72.63	4	
As	74.92	5	
Se	78.96	6	
Br	79.9	7	
Kr	83.8	0	
Rb	85.47	1	
Sr	87.62	2	
Y	88.91	8	
Zr	91.22	8	
Nb	92.91	8	
Mo	95.96	8	
Tc	98	8	
Ru	101.1	8	
Rh	102.9	8	
Pd	106.4	8	
Ag	107.9	8	
Cd	112.4	8	
In	114.8	3	
Sn	118.7	4	
Sb	121.8	5	
Te	127.6	6	
I	126.9	7	
Xe	131.3	0	
Cs	133	1	
Ba	137.3	2	
La	139	8	
Ce	140	8	
Pr	141	8	
Nd	144	8	
Pm	145	8	
Sm	150.5	8	
Eu	152	8	
Gd	157	8	
Tb	159	8	
Dy	162.5	8	
Ho	165	8	
Er	167	8	
Tm	169	8	
Yb	173	8	
Lu	175	8	
Hf	178.5	8	
Ta	181	8	
W	184	8	
Re	186	8	
Os	190	8	
Ir	192	8	
Pt	195	8	
Au	197	8	
Hg	200.6	8	
Tl	204.5	3	
Pb	207	4	
Bi	209	5	
Po	209	6	
At	210	7	
Rn	222	0	
Fr	223	1	
Ra	226	2	
Ac	227	8	
Th	232	8	
Pa	231	8	
U	238	8	
Np	237	8	
Pu	244	8	
Am	243	8	
Cm	247	8	
Bk	247	8	
Cf	251	8	
Es	252	8	
Fm	257	8	
Md	258	8	
No	259	8	
Lr	260	8	
